N,E,W,X
44, 47.1567, 2, 61
43, 44.7002, 2, 140
39, 35.8414, 1, 8258
40, 47.0019, 1, 19206
45, 53.4816, 3, 36586
54, 27.234, 7, 8101
43, 29.2263, 4, 4806
48, 24.1006, 5, 1813
51, 45.9768, 4, 27876
48, 25.0677, 3, 16936
48, 32.8046, 3, 202
49, 36.2282, 3, 2438
43, 29.2263, 0, 16650
52, 47.4662, 5, 17856
50, 48.3559, 4, 621
47, 33.2495, 6, 24277
53, 22.8433, 3, 17775
53, 18.9749, 2, 819
50, 25.1451, 5, 717
48, 20.2321, 5, 1050
40, 64.4101, 3, 18849
52, 62.94, 7, 17537
48, 39.5745, 7, 29392
45, 36.0735, 5, 239
46, 28.8588, 7, 881
46, 28.8588, 7, 18
46, 39.4971, 7, 2878
44, 36.5184, 8, 806
47, 45.8221, 7, 6059
48, 40.5416, 7, 1930
51, 66.2863, 4, 12092
51, 62.4178, 4, 336
62, 70.0967, 7, 5888
60, 76.7892, 11, 3627
56, 72.766, 8, 10117
55, 70.3095, 9, 238
51, 81.7602, 6, 3944
51, 81.7602, 6, 224
45, 48.646, 5, 2906
46, 49.1683, 5, 231
47, 73.8685, 3, 10247
47, 75.8027, 3, 33
51, 92.3985, 3, 2852
46, 75.2805, 1, 8346
47, 77.7369, 1, 323
50, 87.0406, 1, 866
55, 72.2437, 0, 11943
45, 69.9226, 6, 7870
45, 71.8569, 6, 387
39, 20.3675, -3, 40381
46, 35.6286, 3, 8324
47, 38.0851, 3, 405
42, 67.3888, -1, 9401
45, 61.2186, 0, 1588
48, 62.7853, 1, 1663
46, 47.234, 2, 12346
48, 41.5087, -6, 10869
39, 36.8085, -5, 22403
40, 50.8704, -4, 7739
40, 48.9362, -5, 1202
40, 52.8046, -5, 476
42, 34.5068, -2, 4013
41, 50.4255, 7, 5577
43, 40.8317, 6, 7629
40, 11.2186, 5, 32105
33, 28.8395, 3, 3437
31, 31.6634, 3, 291
30, 29.207, 2, 31
36, 34.2747, 1, 2395
34, 37.0986, 1, 253
29, 32.5532, 1, 2138
27, 35.3772, 1, 88
29, 18.0464, 3, 8102
30, 17.6015, 3, 483
30, 43.7137, 5, 12410
37, 5.78337, 6, 11048
39, 16.499, 5, 3025
42, 48.0464, 3, 13986
47, 30.3482, 2, 5720
49, 27.5242, 3, 13521
50, 28.0464, 3, 929
53, 45.087, 4, 57292
54, 63.9845, 8, 6262
47, 66.1315, -4, 16209
46, 69.4778, -4, 9
41, 61.0638, -4, 1436
42, 65.4545, -4, 317
43, 65.9768, 2, 22232
36, 70.058, 1, 1134
39, 50.3482, -7, 13074
34, 41.9342, -7, 9560
34, 43.8685, -7, 92
33, 41.412, -8, 177
36, 39.1103, -7, 770
33, 37.5435, -8, 708
39, 54.2166, -8, 9716
39, 60.0193, -8, 230
38, 57.5629, -8, 45
39, 58.0851, -8, 561
38, 54.6615, -8, 303
39, 55.1838, -8, 593
41, 48.4913, -5, 2377
41, 46.5571, -5, 501
37, 37.6983, 3, 7108
37, 37.6983, 3, 130
39, 31.0058, 3, 1980
43, 64.0426, 6, 22255
54, 36.9052, 4, 12752
51, 52.7466, 6, 29793
50, 44.4874, 7, 12520
53, 41.2186, 7, 1071
53, 41.2186, 7, 442
53, 41.2186, 7, 144
53, 35.4159, 7, 1664
49, 44.9323, 8, 9063
54, 50.4449, 4, 8694
56, 63.0948, 5, 8768
56, 59.2263, 5, 192
54, 52.3791, 7, 22877
52, 53.2689, 6, 381
46, 26.9246, 5, 4087
45, 30.2708, 5, 3061
45, 32.205, 5, 132
44, 33.617, 5, 67
44, 26.8472, 5, 1295
46, 24.0232, 5, 900
48, 49.2456, 5, 3198
49, 47.8337, 5, 277
49, 45.8994, 5, 65
49, 45.8994, 5, 432
46, 63.675, 7, 2122
46, 60.7737, 7, 86
42, 35.4739, 5, 11193
43, 37.9304, 6, 233
42, 35.4739, 6, 278
39, 58.0851, 5, 10347
36, 56.5184, 3, 244
38, 52.7273, 4, 2715
52, 42.6306, 5, 14301
51, 53.7137, 3, 5460
56, 57.2921, 4, 11825
55, 73.2108, 1, 2102
51, 65.3191, 4, 6437
49, 63.3075, 3, 683
50, 63.8298, 3, 1338
44, 53.9265, 5, 7058
44, 53.9265, 2, 8486
46, 38.53, 8, 6743
44, 13.3075, 5, 17702
43, 52.4371, 3, 6270
44, 54.8936, 3, 705
46, 10.4836, 2, 26640
40, 4.44874, 4, 11566
33, 0.793037, 4, 2019
33, 4.66151, 4, 302
35, -4.9323, 5, 3342
31, 51.0058, 4, 5908
33, 53.9845, 4, 514
36, 49.7485, 3, 1062
47, 20.677, 4, 19422
38, 32.4178, -1, 4774
43, 29.2263, -1, 4440
45, 28.3366, -1, 746
44, 28.7814, -1, 230
45, 30.2708, 2, 4794
44, 29.7485, 2, 119
